Data Zone,Local Authority Code,Local Authority Name,"Education, Skills and Training domain 2012 rank1","People aged 16-19 not in full time education, employment or training rate 
(School Leavers 2009/10-2010-11, DWP 2010 and 2011)","Proportion of 17- 21 year olds entering higher education 
(HESA 2008/09-2010/11)3","Pupil Performance on SQA at Stage 4 (SQA, 2008/09-2010/11)5","School Pupil Absences 
(Scottish Government, 2009/10-2010/11)4,5"
S01000001,100,Aberdeen City,4795,8,12.93,210,4.9
S01000002,100,Aberdeen City,5360,4,10,196,4.2
S01000003,100,Aberdeen City,5211,2,6.96,222,5.6
S01000004,100,Aberdeen City,5255,2,6.8,185,4.4
S01000005,100,Aberdeen City,5558,7.5,10.96,229,4.7
S01000006,100,Aberdeen City,4239,14,10.68,193,5.2
S01000007,100,Aberdeen City,6006,2,17.65,213,3.8
S01000008,100,Aberdeen City,4135,20,12.07,200,4.3
S01000009,100,Aberdeen City,4459,6,9.48,207,4.9
S01000010,100,Aberdeen City,4898,6,8.55,188,4.2
S01000011,100,Aberdeen City,6384,0,18.86,255,4
S01000012,100,Aberdeen City,5196,2,10.65,192,4.3
S01000013,100,Aberdeen City,5006,3.75,13.87,224,5
S01000014,100,Aberdeen City,3835,5,10.91,174,6.4
S01000015,100,Aberdeen City,4734,3,7.84,179,4.6
S01000016,100,Aberdeen City,6065,2,12.22,222,3.7
S01000017,100,Aberdeen City,4249,4,*,216,5.2
S01000018,100,Aberdeen City,2686,14,*,171,4.5
S01000019,100,Aberdeen City,6383,2,22.09,249,3.9
S01000020,100,Aberdeen City,5500,3,13.26,245,5.7
S01000021,100,Aberdeen City,3042,3,*,168,5.9
S01000022,100,Aberdeen City,6483,1,24.58,267,3.1
S01000023,100,Aberdeen City,6447,4,34.48,239,3.6
S01000024,100,Aberdeen City,6308,0,25.61,238,4.5
S01000025,100,Aberdeen City,6454,2,18.01,260,3.3
S01000026,100,Aberdeen City,1003,13,*,98,8.6
S01000027,100,Aberdeen City,6248,2,20,241,4.1
S01000028,100,Aberdeen City,1420,19,*,127,7.1
S01000029,100,Aberdeen City,6496,1,25,263,2.9
S01000030,100,Aberdeen City,2655,0,*,155,7.7
S01000031,100,Aberdeen City,6292,2,20.18,240,4.3
S01000032,100,Aberdeen City,2020,9,5.33,130,7.4
S01000033,100,Aberdeen City,1680,7,*,167,8.8
S01000034,100,Aberdeen City,6030,2,18.26,241,4.3
S01000035,100,Aberdeen City,1156,12,7.83,124,12
S01000036,100,Aberdeen City,552,10,*,135,12.5
S01000037,100,Aberdeen City,2112,10,*,155,8.8
S01000038,100,Aberdeen City,2461,6,6.51,156,8.6
S01000039,100,Aberdeen City,2103,5,6.05,142,8.7
S01000040,100,Aberdeen City,2086,8,*,144,7.2
S01000041,100,Aberdeen City,3588,9,6.25,205,6.9
S01000042,100,Aberdeen City,1360,6,*,159,12.3
S01000043,100,Aberdeen City,3750,9,6.38,198,6.2
S01000044,100,Aberdeen City,1284,13,6,152,10.7
S01000045,100,Aberdeen City,6115,4,11.83,241,3.6
S01000046,100,Aberdeen City,6436,6,23.23,244,2.8
S01000047,100,Aberdeen City,2667,17,5.38,121,5.2
S01000048,100,Aberdeen City,6317,2,16.04,226,3.7
S01000049,100,Aberdeen City,6293,5,20.69,208,3.2
S01000050,100,Aberdeen City,5933,0,14.29,190,3.8
S01000051,100,Aberdeen City,6253,0,17.14,233,3.6
S01000052,100,Aberdeen City,687,19,*,146,9
S01000053,100,Aberdeen City,5286,6.25,6.78,208,4.2
S01000054,100,Aberdeen City,6297,3.125,11.88,226,2.8
S01000055,100,Aberdeen City,1058,13,*,134,9.2
S01000056,100,Aberdeen City,6260,3,35.53,227,4.2
S01000057,100,Aberdeen City,325,16,*,113,10.1
S01000058,100,Aberdeen City,6145,0,17.65,191,4.3
S01000059,100,Aberdeen City,6371,0,24.69,236,3.6
S01000060,100,Aberdeen City,284,17,*,119,10.6
S01000061,100,Aberdeen City,6303,2,18.98,259,3.8
S01000062,100,Aberdeen City,6086,2,17.04,236,4.6
S01000063,100,Aberdeen City,6202,2,28.41,193,4.1
S01000064,100,Aberdeen City,3834,0,10.58,180,6.9
S01000065,100,Aberdeen City,4151,12.5,10.34,177,6.7
S01000066,100,Aberdeen City,1681,12,*,115,7.5
S01000067,100,Aberdeen City,6157,0,12.75,254,5.1
S01000068,100,Aberdeen City,6225,2,22.47,257,5.4
S01000069,100,Aberdeen City,1014,13,*,159,9.3
S01000070,100,Aberdeen City,1895,8,6.93,151,9.4
S01000071,100,Aberdeen City,1183,15.625,5.83,134,8.8
S01000072,100,Aberdeen City,4806,4,9.22,194,5.4
S01000073,100,Aberdeen City,6251,3,17.98,224,3.9
S01000074,100,Aberdeen City,393,14,*,127,10
S01000075,100,Aberdeen City,4222,0,*,123,4.8
S01000076,100,Aberdeen City,6417,0,20.22,218,3.4
S01000077,100,Aberdeen City,6440,0,25.23,259,3.8
S01000078,100,Aberdeen City,2812,17,5.73,162,6.4
S01000079,100,Aberdeen City,5930,0,9.04,200,4.2
S01000080,100,Aberdeen City,5441,8,9.32,225,5.3
S01000081,100,Aberdeen City,6325,2,19.17,247,4.3
S01000082,100,Aberdeen City,696,9,*,109,10
S01000083,100,Aberdeen City,6221,2,10.48,249,4.4
S01000084,100,Aberdeen City,726,50,*,102,8.3
S01000085,100,Aberdeen City,2337,2.5,*,122,8
S01000086,100,Aberdeen City,5370,7,12.12,185,4.7
S01000087,100,Aberdeen City,5965,0,16.25,200,4.3
S01000088,100,Aberdeen City,4915,8,9.09,193,4.6
S01000089,100,Aberdeen City,6403,1,22.3,228,3.4
S01000090,100,Aberdeen City,6294,5,22.35,246,4
S01000091,100,Aberdeen City,4017,8,6.77,197,6.5
S01000092,100,Aberdeen City,4526,5,7.76,187,7.4
S01000093,100,Aberdeen City,3970,21,6.5,218,6.8
S01000094,100,Aberdeen City,3366,0,*,137,7.7
S01000095,100,Aberdeen City,5968,6,9.02,240,5
S01000096,100,Aberdeen City,3341,13,6.02,166,5.2
S01000097,100,Aberdeen City,6073,4,20.32,194,4.5
S01000098,100,Aberdeen City,2376,18,*,154,7.2
S01000099,100,Aberdeen City,5966,3,34.07,156,4.5
S01000100,100,Aberdeen City,4029,21,*,207,6.5
S01000101,100,Aberdeen City,6209,5,14.84,216,3.7
S01000102,100,Aberdeen City,2204,27,8.46,181,8.8
S01000103,100,Aberdeen City,5439,2,5.6,219,5
S01000104,100,Aberdeen City,6450,0,26.83,253,4.3
S01000105,100,Aberdeen City,5678,0,16.85,204,6.4
S01000106,100,Aberdeen City,6500,0,31.25,247,3.4
S01000107,100,Aberdeen City,2526,10,*,173,8.3
S01000108,100,Aberdeen City,2088,5,*,148,9.9
S01000109,100,Aberdeen City,3824,5,6.44,153,4.7
S01000110,100,Aberdeen City,3371,3.125,12.79,106,5.2
S01000111,100,Aberdeen City,6167,6.25,19.38,280,5.1
S01000112,100,Aberdeen City,2168,5,5.02,159,9.6
S01000113,100,Aberdeen City,6495,0,27.36,255,3.5
S01000114,100,Aberdeen City,1593,11,*,132,8.2
S01000115,100,Aberdeen City,2627,6,8.19,162,6.9
S01000116,100,Aberdeen City,4433,4,*,202,7.8
S01000117,100,Aberdeen City,6472,0,28.8,268,3.8
S01000118,100,Aberdeen City,3060,2,5.49,159,7.2
S01000119,100,Aberdeen City,2341,13,*,162,7.5
S01000120,100,Aberdeen City,6238,0,11.94,258,4.4
S01000121,100,Aberdeen City,4886,4,22.34,183,6.1
S01000122,100,Aberdeen City,1829,6,5.15,118,7.1
S01000123,100,Aberdeen City,5591,0,7.69,199,4.1
S01000124,100,Aberdeen City,3675,4,12.96,166,9.3
S01000125,100,Aberdeen City,1661,5,9.85,119,10
S01000126,100,Aberdeen City,2245,5,*,179,10.1
S01000127,100,Aberdeen City,6346,1,23.48,215,4
S01000128,100,Aberdeen City,4299,0,16.22,186,7
S01000129,100,Aberdeen City,2809,0,24.07,90,11.8
S01000130,100,Aberdeen City,2317,5,*,166,9
S01000131,100,Aberdeen City,5757,0,16.05,215,7.3
S01000132,100,Aberdeen City,5304,3.125,5.26,202,4.2
S01000133,100,Aberdeen City,2609,5,6.8,156,7
S01000134,100,Aberdeen City,990,18,*,126,8.2
S01000135,100,Aberdeen City,1133,3,*,117,8
S01000136,100,Aberdeen City,686,17,*,106,8.4
S01000137,100,Aberdeen City,3555,8,9.52,164,7.9
S01000138,100,Aberdeen City,4547,1,20.59,187,7.1
S01000139,100,Aberdeen City,2699,13,5.68,174,5.6
S01000140,100,Aberdeen City,1883,9,5.05,135,8.6
S01000141,100,Aberdeen City,5996,0,15.38,244,5.1
S01000142,100,Aberdeen City,655,13,*,126,10.3
S01000143,100,Aberdeen City,6307,0,22.31,237,4
S01000144,100,Aberdeen City,3548,2,*,148,7.2
S01000145,100,Aberdeen City,1362,12,*,124,6.9
S01000146,100,Aberdeen City,1948,13,*,135,7.6
S01000147,100,Aberdeen City,2132,5,*,123,9.3
S01000148,100,Aberdeen City,2000,5,6.14,128,6.9
S01000149,100,Aberdeen City,2287,8,*,146,7.3
S01000150,100,Aberdeen City,1991,6,*,146,6.9
S01000151,100,Aberdeen City,1906,16,*,193,6.3
S01000152,100,Aberdeen City,4933,4,10.1,130,5
S01000153,100,Aberdeen City,1548,8,*,129,9.2
S01000154,100,Aberdeen City,1435,6,*,114,8.6
S01000155,100,Aberdeen City,862,6,*,125,10.8
S01000156,100,Aberdeen City,1222,12,*,155,9.8
S01000157,100,Aberdeen City,1589,8,*,156,8.7
S01000158,100,Aberdeen City,2793,11,*,214,5.7
S01000159,100,Aberdeen City,5914,1,13.82,149,4.6
S01000160,100,Aberdeen City,2143,6,*,199,6.5
S01000161,100,Aberdeen City,5055,1,6.81,117,4.7
S01000162,100,Aberdeen City,2430,11,9.84,115,7.4
S01000163,100,Aberdeen City,820,8,*,95,8.4
S01000164,100,Aberdeen City,2628,0.78125,12.03,149,7.1
S01000165,100,Aberdeen City,1177,22,*,156,9.8
S01000166,100,Aberdeen City,3480,3,16.22,151,9.8
S01000167,100,Aberdeen City,1859,9,*,92,7.8
S01000168,100,Aberdeen City,443,15,*,165,9.6
S01000169,100,Aberdeen City,2863,8,*,183,5.3
S01000170,100,Aberdeen City,4876,4,28.08,147,6.6
S01000171,100,Aberdeen City,4982,5,8.79,142,4.6
S01000172,100,Aberdeen City,3168,0,8.33,135,7
S01000173,100,Aberdeen City,1332,15,*,225,8.5
S01000174,100,Aberdeen City,6290,1,16.56,130,3.6
S01000175,100,Aberdeen City,1942,8,*,284,6.9
S01000176,100,Aberdeen City,5521,1,8.02,176,7.4
S01000177,100,Aberdeen City,4775,3,*,145,3.4
S01000178,100,Aberdeen City,1438,14,*,108,7.9
S01000179,100,Aberdeen City,306,26,*,141,11.9
S01000180,100,Aberdeen City,1663,13,5.36,124,8
S01000181,100,Aberdeen City,334,7,*,112,9.7
S01000182,100,Aberdeen City,877,9,*,122,9.4
S01000183,100,Aberdeen City,1431,4,5.53,197,11.3
S01000184,100,Aberdeen City,3513,4,5.08,125,8
S01000185,100,Aberdeen City,882,12.5,*,207,10.2
S01000186,100,Aberdeen City,4846,0,7.32,109,4.9
S01000187,100,Aberdeen City,650,11,*,118,10.6
S01000188,100,Aberdeen City,3092,1,6.24,104,4.7
S01000189,100,Aberdeen City,228,12.5,*,112,10.9
S01000190,100,Aberdeen City,905,14,*,192,7.9
S01000191,100,Aberdeen City,3563,4.6875,5.75,121,7.8
S01000192,100,Aberdeen City,871,22,7.28,125,9.5
S01000193,100,Aberdeen City,756,18,*,114,9.6
S01000194,100,Aberdeen City,557,19,5.29,134,13.3
S01000195,100,Aberdeen City,919,13,*,101,9.9
S01000196,100,Aberdeen City,38,21,*,103,11.9
S01000197,100,Aberdeen City,469,9,*,115,11
S01000198,100,Aberdeen City,201,33,*,112,10.9
S01000199,100,Aberdeen City,562,9,*,121,11.4
S01000200,100,Aberdeen City,906,15,*,147,10.5
S01000201,100,Aberdeen City,2591,4,7.29,199,7.3
S01000202,100,Aberdeen City,2967,18,*,107,7.1
S01000203,100,Aberdeen City,166,26,*,126,12.1
S01000204,100,Aberdeen City,1470,10.9375,*,111,7.3
S01000205,100,Aberdeen City,1771,2,5.57,131,8.7
S01000206,100,Aberdeen City,1819,10,*,148,8.6
S01000207,100,Aberdeen City,1415,16,*,116,7.8
S01000208,100,Aberdeen City,145,14,*,87,12.8
S01000209,100,Aberdeen City,144,13,*,115,11.4
S01000210,100,Aberdeen City,404,21,*,184,11.8
S01000211,100,Aberdeen City,1483,15,*,125,10.6
S01000212,100,Aberdeen City,992,10,*,133,9.9
S01000213,100,Aberdeen City,1149,7,*,159,7.9
S01000214,100,Aberdeen City,2232,7,*,209,4.9
S01000215,100,Aberdeen City,5415,5,18.3,144,5.8
S01000216,100,Aberdeen City,2911,3,*,113,5.6
S01000217,100,Aberdeen City,333,10,*,139,11.7
S01000218,100,Aberdeen City,2222,21.875,8.75,86,6.5
S01000219,100,Aberdeen City,346,12,*,135,11.7
S01000220,100,Aberdeen City,2506,0,*,100,6.7
S01000221,100,Aberdeen City,2002,3,6.06,171,7.9
S01000222,100,Aberdeen City,2556,12.5,5.7,186,6.7
S01000223,100,Aberdeen City,4341,7,10,130,5.8
S01000224,100,Aberdeen City,2349,3,*,175,6.2
S01000225,100,Aberdeen City,3949,8,11.96,195,5.3
S01000226,100,Aberdeen City,5268,0,6.45,174,4.5
S01000227,100,Aberdeen City,4717,3.125,9.33,95,4.4
S01000228,100,Aberdeen City,1603,12.5,*,138,7.4
S01000229,100,Aberdeen City,1768,12,*,152,7.1
S01000230,100,Aberdeen City,2889,10,7.43,177,6.5
S01000231,100,Aberdeen City,5038,1,11.76,140,4.8
S01000232,100,Aberdeen City,2230,9,7.3,176,6.5
S01000233,100,Aberdeen City,2453,9,*,179,6.7
S01000234,100,Aberdeen City,4462,5,11.72,188,4.8
S01000235,100,Aberdeen City,5170,2,12.95,195,4.9
S01000236,100,Aberdeen City,4114,7.8125,9.8,180,5.4
S01000237,100,Aberdeen City,4038,5,8.77,183,5.9
S01000238,100,Aberdeen City,4658,5,*,203,4.2
S01000239,100,Aberdeen City,5281,3,13.49,154,4.3
S01000240,100,Aberdeen City,3886,15,10.34,195,4.4
S01000241,100,Aberdeen City,5736,0,15.82,185,5
S01000242,100,Aberdeen City,3928,1,6.3,192,6.3
S01000243,100,Aberdeen City,5769,0,12.79,152,3.7
S01000244,100,Aberdeen City,2907,4.6875,7.14,166,7.3
S01000245,100,Aberdeen City,3991,7,11.85,168,4.4
S01000246,100,Aberdeen City,4947,0,10.49,179,4
S01000247,100,Aberdeen City,4801,4,11.65,180,4.3
S01000248,100,Aberdeen City,4605,3,9.64,182,5
S01000249,100,Aberdeen City,4917,0,15.31,173,5.9
S01000250,100,Aberdeen City,5003,2,13.99,187,4.7
S01000251,100,Aberdeen City,5228,3,15.29,166,4.9
S01000252,100,Aberdeen City,4691,1,6.32,177,4.8
S01000253,100,Aberdeen City,5297,1,11.54,175,4.2
S01000254,100,Aberdeen City,5053,1,11.83,173,5
S01000255,100,Aberdeen City,4356,5,10.74,178,5.3
S01000256,100,Aberdeen City,5446,4,13.33,149,3.4
S01000257,100,Aberdeen City,4455,4,7.07,185,4.4
S01000258,100,Aberdeen City,5677,3,18.49,192,4.5
S01000259,100,Aberdeen City,5529,0,13.42,164,4.8
S01000260,100,Aberdeen City,3921,11,8.87,171,5
S01000261,100,Aberdeen City,4724,8,9.29,136,4
S01000262,100,Aberdeen City,4233,6,14.04,175,4.4
S01000263,100,Aberdeen City,4402,4,12.15,153,5
S01000264,100,Aberdeen City,2012,16,*,148,7.1
S01000265,100,Aberdeen City,2227,8,*,165,7
S01000266,100,Aberdeen City,3821,7,11.24,168,5.3
S01000267,100,Aberdeen City,3033,7,5.56,160,5.3
S01000268,110,Aberdeenshire,2959,11,9.78,231,7.1
S01000269,110,Aberdeenshire,5863,3,22,172,4.6
S01000270,110,Aberdeenshire,4537,1,14.09,183,5.1
S01000271,110,Aberdeenshire,3131,11,5.21,200,6.4
S01000272,110,Aberdeenshire,4988,2,13.41,175,5.6
S01000273,110,Aberdeenshire,4076,2.5,14.47,171,7.1
S01000274,110,Aberdeenshire,2590,8,*,169,6.5
S01000275,110,Aberdeenshire,4137,0,7.43,220,4.3
S01000276,110,Aberdeenshire,5982,1,20.17,213,4.6
S01000277,110,Aberdeenshire,4968,0,8.33,168,6.1
S01000278,110,Aberdeenshire,1384,7,*,209,7
S01000279,110,Aberdeenshire,5225,1,8.28,220,4.5
S01000280,110,Aberdeenshire,4681,2.5,7.23,192,5
S01000281,110,Aberdeenshire,3260,5,8.13,176,7.7
S01000282,110,Aberdeenshire,4036,2,12.12,221,5.5
S01000283,110,Aberdeenshire,5784,3,12.26,222,3.9
S01000284,110,Aberdeenshire,6003,1,14.29,239,3.4
S01000285,110,Aberdeenshire,5516,0,5.71,226,5.6
S01000286,110,Aberdeenshire,4573,13,8.06,210,5.9
S01000287,110,Aberdeenshire,6017,0,22.13,204,4.5
S01000288,110,Aberdeenshire,4646,0,9.55,195,6.1
S01000289,110,Aberdeenshire,4248,6,8.73,175,5.7
S01000290,110,Aberdeenshire,2568,10,7.14,221,7.2
S01000291,110,Aberdeenshire,5873,2,17.9,218,4.4
S01000292,110,Aberdeenshire,5604,3,16.11,235,5.2
S01000293,110,Aberdeenshire,5156,0,9.52,221,7
S01000294,110,Aberdeenshire,5413,6,10.86,226,4.9
S01000295,110,Aberdeenshire,5793,5,15.38,237,4.8
S01000296,110,Aberdeenshire,6284,0,16.67,213,4
S01000297,110,Aberdeenshire,4763,1,8.72,222,6.1
S01000298,110,Aberdeenshire,5625,3,16.67,227,5
S01000299,110,Aberdeenshire,6149,0,25.14,211,4.2
S01000300,110,Aberdeenshire,5493,2,14.49,199,4.8
S01000301,110,Aberdeenshire,5428,2,10.28,216,4.3
S01000302,110,Aberdeenshire,5692,2,17.91,187,4.3
S01000303,110,Aberdeenshire,5302,5,27.5,211,5.4
S01000304,110,Aberdeenshire,5889,3,13.17,164,4.2
S01000305,110,Aberdeenshire,4311,2,8.33,233,5.1
S01000306,110,Aberdeenshire,6147,1,23.24,192,4.1
S01000307,110,Aberdeenshire,5458,3,13.92,214,4.7
S01000308,110,Aberdeenshire,5217,4,11.8,188,5.3
S01000309,110,Aberdeenshire,5241,1,12.74,188,5.1
S01000310,110,Aberdeenshire,5263,2,14.08,254,4.8
S01000311,110,Aberdeenshire,6155,8,17.48,180,4.2
S01000312,110,Aberdeenshire,4266,5,7.95,246,5.8
S01000313,110,Aberdeenshire,6215,0,15.56,162,3.6
S01000314,110,Aberdeenshire,4134,2,8.91,225,5.6
S01000315,110,Aberdeenshire,6189,3,22.69,149,3.7
S01000316,110,Aberdeenshire,3103,3,9.02,161,7.8
S01000317,110,Aberdeenshire,3207,7,7.94,239,5.6
S01000318,110,Aberdeenshire,6449,2,25.24,182,3.5
S01000319,110,Aberdeenshire,4857,2,13.53,197,5.6
S01000320,110,Aberdeenshire,5643,0,17.24,204,4.5
S01000321,110,Aberdeenshire,5600,0,19.28,239,5.8
S01000322,110,Aberdeenshire,6342,3,22.96,204,3.7
S01000323,110,Aberdeenshire,5379,3,19.31,181,4.3
S01000324,110,Aberdeenshire,4554,3,8.02,195,5.4
S01000325,110,Aberdeenshire,5102,3,17.06,168,4
S01000326,110,Aberdeenshire,3601,5,6.14,172,5.2
S01000327,110,Aberdeenshire,5063,0,6.31,159,4.6
S01000328,110,Aberdeenshire,2759,4,*,142,5.7
S01000329,110,Aberdeenshire,2654,6,8.33,229,6.9
S01000330,110,Aberdeenshire,6094,3,24.67,173,4
S01000331,110,Aberdeenshire,3502,9,10,236,5.9
S01000332,110,Aberdeenshire,6024,4,25,226,4.7
S01000333,110,Aberdeenshire,6312,5,27.56,175,3.3
S01000334,110,Aberdeenshire,4414,5,17.39,184,5.2
S01000335,110,Aberdeenshire,3854,8,5.1,158,5.9
S01000336,110,Aberdeenshire,4348,3,8.7,227,4.7
S01000337,110,Aberdeenshire,5657,3,12.17,159,4.7
S01000338,110,Aberdeenshire,3017,7,6.62,233,7.1
S01000339,110,Aberdeenshire,6027,3,25.88,224,4.6
S01000340,110,Aberdeenshire,5840,1,13.33,216,3.9
S01000341,110,Aberdeenshire,5343,3,12.39,193,4.5
S01000342,110,Aberdeenshire,4235,5,10,217,4.8
S01000343,110,Aberdeenshire,5631,4,23.57,166,4.9
S01000344,110,Aberdeenshire,4181,3,10.4,197,5.5
S01000345,110,Aberdeenshire,4819,5,11.69,254,4.6
S01000346,110,Aberdeenshire,5995,2,13.11,190,4.3
S01000347,110,Aberdeenshire,4604,1,10.4,235,5.2
S01000348,110,Aberdeenshire,5862,5,8.04,173,4
S01000349,110,Aberdeenshire,4921,0,8.87,208,5.4
S01000350,110,Aberdeenshire,5795,2,15.94,213,4.6
S01000351,110,Aberdeenshire,5901,2,10.77,239,4.1
S01000352,110,Aberdeenshire,6243,3,9.23,237,3.3
S01000353,110,Aberdeenshire,6100,0,11.85,215,4.2
S01000354,110,Aberdeenshire,5702,2.5,21.9,210,5.1
S01000355,110,Aberdeenshire,5315,4,8.28,206,5.2
S01000356,110,Aberdeenshire,5340,2,21.95,194,5.5
S01000357,110,Aberdeenshire,6061,2,13.16,221,3.4
S01000358,110,Aberdeenshire,6200,1,15.43,224,3.9
S01000359,110,Aberdeenshire,6357,1,22.53,235,3.8
S01000360,110,Aberdeenshire,4240,6.25,5.75,213,7.8
S01000361,110,Aberdeenshire,5871,2,13.58,231,3.4
S01000362,110,Aberdeenshire,5589,3,12.31,206,4.9
S01000363,110,Aberdeenshire,5869,1,16.48,215,4.1
S01000364,110,Aberdeenshire,5057,4,14.72,202,5.7
S01000365,110,Aberdeenshire,4885,3,9.66,210,5
S01000366,110,Aberdeenshire,5353,3,9.28,220,4.7
S01000367,110,Aberdeenshire,5642,7,15.45,209,3.9
S01000368,110,Aberdeenshire,5710,0,17.59,189,4.6
S01000369,110,Aberdeenshire,3683,5,*,168,5.7
S01000370,110,Aberdeenshire,4649,2,14.36,191,6.2
S01000371,110,Aberdeenshire,4985,2,12.2,207,4.6
S01000372,110,Aberdeenshire,4630,5,9.7,214,5.2
S01000373,110,Aberdeenshire,5956,6,20.27,209,3.9
S01000374,110,Aberdeenshire,5386,5,17.46,165,4.5
S01000375,110,Aberdeenshire,3694,0,8.25,151,6.1
S01000376,110,Aberdeenshire,2084,8,*,233,7.2
S01000377,110,Aberdeenshire,6014,4,16.82,170,3.9
S01000378,110,Aberdeenshire,3069,4,*,198,6.1
S01000379,110,Aberdeenshire,5607,7.5,27.14,191,5
S01000380,110,Aberdeenshire,4677,3,10.56,215,5.8
S01000381,110,Aberdeenshire,5114,3,8.02,214,4.9
S01000382,110,Aberdeenshire,5759,1,15.95,165,4.7
S01000383,110,Aberdeenshire,4087,4,11.89,162,5.4
S01000384,110,Aberdeenshire,3989,2,16,208,6
S01000385,110,Aberdeenshire,4326,1.5625,7.55,217,6.2
S01000386,110,Aberdeenshire,5133,3.75,11.03,182,5.1
S01000387,110,Aberdeenshire,4822,6,9.88,202,4.1
S01000388,110,Aberdeenshire,4749,3,7.92,153,6.3
S01000389,110,Aberdeenshire,4291,7.8125,*,159,4.7
S01000390,110,Aberdeenshire,3078,4,7.52,167,6.3
S01000391,110,Aberdeenshire,3969,4,9.73,175,5.9
S01000392,110,Aberdeenshire,5011,2,9.35,194,4.5
S01000393,110,Aberdeenshire,4454,6.25,10,207,5.2
S01000394,110,Aberdeenshire,3856,10,5.41,199,5.4
S01000395,110,Aberdeenshire,5109,3,13.01,155,5
S01000396,110,Aberdeenshire,2844,4.6875,*,215,5.5
S01000397,110,Aberdeenshire,4855,5,9.27,207,5
S01000398,110,Aberdeenshire,5183,4,13.46,205,4.6
S01000399,110,Aberdeenshire,4662,8,16.48,173,6.1
S01000400,110,Aberdeenshire,3157,4,6.72,213,6.9
S01000401,110,Aberdeenshire,5476,2,11.73,179,5
S01000402,110,Aberdeenshire,4706,6,7.94,167,4.6
S01000403,110,Aberdeenshire,4403,5,11.5,206,5.8
S01000404,110,Aberdeenshire,4529,1.25,5.26,178,5.8
S01000405,110,Aberdeenshire,4387,3,7.14,197,5.3
S01000406,110,Aberdeenshire,3012,2,*,161,7.4
S01000407,110,Aberdeenshire,2675,1.25,6.92,225,8.6
S01000408,110,Aberdeenshire,5916,9,15.07,201,3.3
S01000409,110,Aberdeenshire,5328,2,11.11,226,4.6
S01000410,110,Aberdeenshire,6192,0,19.61,199,4.3
S01000411,110,Aberdeenshire,5289,0,11.3,227,5.2
S01000412,110,Aberdeenshire,5060,6,10.32,213,4.9
S01000413,110,Aberdeenshire,5284,5,11.49,232,5.1
S01000414,110,Aberdeenshire,5760,3,14.67,181,5.3
S01000415,110,Aberdeenshire,3275,9,5.65,159,6.3
S01000416,110,Aberdeenshire,3546,13,5.17,189,4.8
S01000417,110,Aberdeenshire,4427,1,7.39,166,5
S01000418,110,Aberdeenshire,3642,3,8.67,160,6.3
S01000419,110,Aberdeenshire,4241,12,12.43,169,5.8
S01000420,110,Aberdeenshire,4199,2,11.01,196,6.1
S01000421,110,Aberdeenshire,5292,1,11.49,167,4.5
S01000422,110,Aberdeenshire,3950,8,11.46,201,4.8
S01000423,110,Aberdeenshire,5095,4,11.76,162,5.2
S01000424,110,Aberdeenshire,3806,6,11.36,183,6.5
S01000425,110,Aberdeenshire,4912,11,16.47,174,4.6
S01000426,110,Aberdeenshire,4868,2,17.29,197,5.7
S01000427,110,Aberdeenshire,4228,3,5.74,209,5.8
S01000428,110,Aberdeenshire,5363,4,13.6,218,5
S01000429,110,Aberdeenshire,4617,8.75,*,228,4.5
S01000430,110,Aberdeenshire,6051,2,10.26,197,3.2
S01000431,110,Aberdeenshire,4579,3,10.71,190,4.9
S01000432,110,Aberdeenshire,5417,11,12.23,175,3.6
S01000433,110,Aberdeenshire,3948,0,7.56,158,5.2
S01000434,110,Aberdeenshire,2738,5,5.8,180,7.8
S01000435,110,Aberdeenshire,3974,10,8.11,217,4.3
S01000436,110,Aberdeenshire,5383,3,*,196,4.4
S01000437,110,Aberdeenshire,4685,2,9.6,222,5.7
S01000438,110,Aberdeenshire,6020,3,14.47,177,4
S01000439,110,Aberdeenshire,3841,4,5.67,197,5.3
S01000440,110,Aberdeenshire,4753,1,10.58,182,5.3
S01000441,110,Aberdeenshire,3214,6,7.69,211,6.4
S01000442,110,Aberdeenshire,5260,7,18.48,171,5.6
S01000443,110,Aberdeenshire,4748,1,12.07,201,5.5
S01000444,110,Aberdeenshire,4970,2,9.97,182,4.8
S01000445,110,Aberdeenshire,3853,8,8,203,5.4
S01000446,110,Aberdeenshire,4844,2,12.03,147,5.6
S01000447,110,Aberdeenshire,3025,5,10.09,161,6.1
S01000448,110,Aberdeenshire,3533,8,10.42,162,6
S01000449,110,Aberdeenshire,3394,2,6.92,178,6.7
S01000450,110,Aberdeenshire,4720,2,5.41,177,4.7
S01000451,110,Aberdeenshire,4823,2,19.83,156,5.2
S01000452,110,Aberdeenshire,3827,8,15.53,174,5.1
S01000453,110,Aberdeenshire,4295,0,7.38,200,5.2
S01000454,110,Aberdeenshire,2761,14,*,177,5.5
S01000455,110,Aberdeenshire,3099,2,7.27,209,8
S01000456,110,Aberdeenshire,4083,10,7.48,194,6
S01000457,110,Aberdeenshire,5187,2,11.45,173,4.6
S01000458,110,Aberdeenshire,4645,1,8.07,183,4.9
S01000459,110,Aberdeenshire,2823,11,6.51,113,7.5
S01000460,110,Aberdeenshire,541,16,*,156,10
S01000461,110,Aberdeenshire,2475,3,*,174,7.8
S01000462,110,Aberdeenshire,2875,12.5,6.53,170,6.3
S01000463,110,Aberdeenshire,2622,19,*,186,6.5
